Aari
Aariya
Aasax
Abadi
Abaga
Abai Sungai
Abai Tubu-Abai Sembuak
Abanyom
Abau
Abaza
Abé
Abenlen Ayta
Abidji
Abinomn
Abipon
Abkhazian
Abom
Abon
Abron
Abu
Abua
Abu' Arapesh
Abui
Abun
Abure
Abureni
Acatepec Me'phaa
Achagua
Ache
Aché
Acheron
Achi
"Achi', Cubulco"
Achinese
Achterhoeks
Achuar-Shiwiar
Achumawi
Acoli
Acroá
Adabe
Adai
Adamawa Fulfulde
Adamorobe Sign Language
Adang
Adangbe
Adangme
Adap
Adasen
Adele
Adhari
Adhola
Adioukrou
Adiwasi Garasia
Adnyamathanha
Adonara
Aduge
Adurgari
Adyghe
Adzera
Adzera (Retired)
Aeka
Aekyom
Aer
Aewa
Afade
Afar
Afghanistan Gorbat
Afghan Sign Language
Afitti
Afrikaans
Afro-Seminole Creole
Afudu
Agarabi
Agariya
Agatu
Agavotaguerra
Agbirigba
Aghem
Aghu
Aghul
Aghu Tharnggalu
Aghu Tharnggalu (Retired)
Aghwan
Agi
Agob-Ende-Kawam
Agoi
Agta-Pahanan
Aguacateco
Aguano
Aguaruna
Aguna
Agusan Manobo
Agutaynen
Agwagwune
Àhàn
Ahanta
Ahe
Ahin-Kayapa Kalanguya
Ahirani
Ahom
Ahtena
Ai-Cham
Aighon
Aikanã
Aiklep
Aiku
Aimaq
Aimele
Aimol
Ainbai
Ainu (China)
Aiome
Airoran
Aisi
Aiton
Aja (Benin)
Aja (Sudan)
Ajawa
Ajië
Ajumbu
Ajyíninka Apurucayali
Ak
Aka
Aka-Bea
Aka-Bo
Aka-Cari
Aka-Jeru
Aka-Kede
Aka-Kol
Aka-Kora
Akan
Akar-Bale
Akaselem
Akateko
Akawaio
Ake
Akebu
Akei
Akeu
Akha
Akhvakh
Akie
Akkadian
Akkala Sami
Aklanon
Akolet
Akoose
Akoye
Akpa
Akpes
Akpondu
Akuku
Akum
Akuntsu
Akurio
Akwa
Alaba-K'abeena
Alabama
Alabat Island Agta
Alacalufe-Austral
Alacalufe-Central
Alacatlatzala Mixtec
Alago
Alaguilac
Alagwa
Alak
Alamblak
Alangan
Alapmunte
Alawa
Albanian Sign Language
Alcozauca Mixtec
Ale
Alege
Alekano
Aleut
Algerian Arabic
Algerian Saharan Arabic
Algerian Sign Language
Algonquin
Ali
Alipur Sign Language
Alladian
Allar
Allentiac
Alngith
Aloápam Zapotec
Alo Phola
Alorese
Al-Sayyid Bedouin Sign Language
Alsea-Yaquina
Alugu
Alu Kurumba
Alumu-Tesu
Alune
Aluo
Alur
Alu-Sinagen
Alutor
Alviri-Vidari
Alyawarr
Amahai
Amahuaca
Amaimon
Amal
Amam
Amami O Shima Sign Language
Amanab
Amanayé
Amapá Creole
Ama (Papua New Guinea)
Amara
Amarakaeri
Amarasi
Ama (Sudan)
Amatlán Zapotec
Ambai
Ambakich
Ambala Ayta
Amba (Solomon Islands)
Amba (Uganda)
Ambelau
Ambele
Ambermo
Amblong
Ambo
Ambonese Malay
Ambo-Pasco Quechua
Ambrak
Ambulas
Amdang
Amdo Tibetan
Amele
Amerax
American Indian Pidgin English
American Sign Language
Amganad Ifugao
Amharic
Ami
Amikoana
Amis
Amkoe
Ammonite
Amo
Amoltepec Mixtec
Amorite
Amotomanco
Ampanang
Ampari Dogon
Amri Karbi
Amto
Amundava
Amurdak
Anaang
Anakalangu
Anal
Anam
Anambé
Anamuxra
Anasi
Ana Tinga Dogon
Anauyá
Áncá
Ancient Greek
Ancient Hebrew
Ancient Ligurian
Ancient North Arabian
Andai
Andalusian Arabic
Andaman Creole Hindi
Andaqui
Andarum
Andegerebinha
Andh
Andi
Andio
Andoa
Andoque
